seed,attack_intensity,condition,availability,security_compliance,mean_risk_of_solution
6,0.875,TrustOnly,1.0,1.0,0.4375552167280207
6,0.875,QOPT_Oracle,1.0,1.0,0.18539334346037778
6,0.875,QOPT_QTRACE,1.0,1.0,0.18196719040062465
6,1.0,Static,1.0,1.0,0.32083820232150084
6,1.0,TrustOnly,1.0,1.0,0.4734216929979709
6,1.0,QOPT_Oracle,1.0,1.0,0.18139501797170784
6,1.0,QOPT_QTRACE,1.0,1.0,0.17818305453203184
7,0.0,Static,1.0,1.0,0.104893536984109
7,0.0,TrustOnly,1.0,0.5,0.01995605369895521
7,0.0,QOPT_Oracle,1.0,1.0,0.10427562403650587
7,0.0,QOPT_QTRACE,1.0,1.0,0.1069699667860469
7,0.125,Static,1.0,1.0,0.15222403684295285
7,0.125,TrustOnly,1.0,0.5,0.02856893071500737
7,0.125,QOPT_Oracle,1.0,1.0,0.11032156955982093
7,0.125,QOPT_QTRACE,1.0,1.0,0.11864164889162769
7,0.25,Static,1.0,1.0,0.1876504680602818
7,0.25,TrustOnly,1.0,0.5,0.035783180433535275
7,0.25,QOPT_Oracle,1.0,1.0,0.1339883582144371
7,0.25,QOPT_QTRACE,1.0,1.0,0.13244289047401933
7,0.375,Static,1.0,1.0,0.23239846439720388
7,0.375,TrustOnly,1.0,0.5,0.04419579703628061
7,0.375,QOPT_Oracle,1.0,1.0,0.1720906416829512
7,0.375,QOPT_QTRACE,1.0,1.0,0.16638628940851768
7,0.5,Static,1.0,1.0,0.26702613511909845
7,0.5,TrustOnly,1.0,0.5,0.0518316420430489
7,0.5,QOPT_Oracle,1.0,1.0,0.1938205428881724
7,0.5,QOPT_QTRACE,1.0,1.0,0.17407845583734466
7,0.625,Static,1.0,1.0,0.3163062990478913
7,0.625,TrustOnly,1.0,1.0,0.34004026388219716
7,0.625,QOPT_Oracle,1.0,1.0,0.22779028452392688
7,0.625,QOPT_QTRACE,1.0,1.0,0.23356962518305602
7,0.75,Static,1.0,1.0,0.3540679704799931
7,0.75,TrustOnly,1.0,1.0,0.3770562165437109
7,0.75,QOPT_Oracle,1.0,1.0,0.2574906947536708
7,0.75,QOPT_QTRACE,1.0,1.0,0.23445839901212076
7,0.875,Static,1.0,1.0,0.4057492555057754
7,0.875,TrustOnly,1.0,1.0,0.43869718243929434
7,0.875,QOPT_Oracle,1.0,1.0,0.25794901503287854
7,0.875,QOPT_QTRACE,1.0,1.0,0.2515010856548495
7,1.0,Static,1.0,1.0,0.4319271999636381
7,1.0,TrustOnly,1.0,1.0,0.46408036118643553
7,1.0,QOPT_Oracle,1.0,1.0,0.2710877102476688
7,1.0,QOPT_QTRACE,1.0,1.0,0.2579355954358442
8,0.0,Static,1.0,1.0,0.10374159472192725
8,0.0,TrustOnly,1.0,0.5,0.019712858786112043
8,0.0,QOPT_Oracle,1.0,1.0,0.10426740437473948
8,0.0,QOPT_QTRACE,1.0,1.0,0.12154136328376147
8,0.125,Static,1.0,1.0,0.15057554528198647
8,0.125,TrustOnly,1.0,0.5,0.028606423402551096
8,0.125,QOPT_Oracle,1.0,1.0,0.1105571653131166
8,0.125,QOPT_QTRACE,1.0,1.0,0.11870144109238151
8,0.25,Static,1.0,1.0,0.19142812705562634
8,0.25,TrustOnly,1.0,0.5,0.036237772110911365
8,0.25,QOPT_Oracle,1.0,1.0,0.13947767912155934
8,0.25,QOPT_QTRACE,1.0,1.0,0.14133501974175847
8,0.375,Static,1.0,1.0,0.22726072303878067
8,0.375,TrustOnly,1.0,0.5,0.04379054061772719
8,0.375,QOPT_Oracle,1.0,1.0,0.1551950790388457
8,0.375,QOPT_QTRACE,1.0,1.0,0.15873345348685253
8,0.5,Static,1.0,1.0,0.2680355094664752
8,0.5,TrustOnly,1.0,0.5,0.05169571366099067
8,0.5,QOPT_Oracle,1.0,1.0,0.1841993788155495
8,0.5,QOPT_QTRACE,1.0,1.0,0.18165589365799076
8,0.625,Static,1.0,1.0,0.310647840450562
8,0.625,TrustOnly,1.0,1.0,0.3341854893918195
8,0.625,QOPT_Oracle,1.0,1.0,0.20825379220947476
